sale_id,sale_date,year,month,quarter,season,customer_id,district,customer_type,equipment,quantity,unit_price,gross_amount,discount_pct,discount_amount,net_revenue,payment_mode,delivery_status
S00001,2023-11-16,2023,11,Q4,Rabi Prep,C0158,Katihar,Farmer,Cultivator,1,72874,72874,0,0.0,72874.0,UPI,Delivered
S00002,2023-12-25,2023,12,Q4,Rabi Peak,C0121,Vaishali,Farmer,Tawa (Plough),1,30044,30044,0,0.0,30044.0,Cash,Delivered
S00003,2024-07-28,2024,7,Q3,Kharif Prep,C0105,Siwan,Farmer,Tawa (Plough),1,44818,44818,2,896.36,43921.64,UPI,Delivered
S00004,2024-11-04,2024,11,Q4,Rabi Prep,C0173,Chapra (Saran),Farmer,Tawa (Plough),1,26763,26763,0,0.0,26763.0,Bank Transfer,Delivered
S00005,2023-12-26,2023,12,Q4,Rabi Peak,C0051,Gopalganj,Farmer,Rotavator,1,142007,142007,2,2840.14,139166.86,Cash,Delivered
S00006,2023-02-01,2023,2,Q1,Off-Season,C0112,Bhagalpur,Farmer,Rotavator,1,119765,119765,0,0.0,119765.0,Cash,Delivered
S00007,2023-11-29,2023,11,Q4,Rabi Prep,C0022,Gopalganj,Dealer,Tawa (Plough),1,36598,36598,5,1829.9,34768.1,Cash,Delivered
S00008,2023-02-20,2023,2,Q1,Off-Season,C0247,Bhagalpur,Farmer,Threshing Machine,1,72832,72832,0,0.0,72832.0,UPI,Delivered
S00009,2023-08-09,2023,8,Q3,Kharif Peak,C0286,Katihar,Farmer,Tawa (Plough),1,21729,21729,0,0.0,21729.0,Bank Transfer,Delivered
S00010,2024-06-23,2024,6,Q2,Kharif Prep,C0142,Begusarai,Farmer,Threshing Machine,1,57976,57976,10,5797.6,52178.4,Cash,Delivered
S00011,2023-08-05,2023,8,Q3,Kharif Peak,C0195,Chapra (Saran),Dealer,Tawa (Plough),1,43040,43040,0,0.0,43040.0,Cash,Delivered
S00012,2023-06-29,2023,6,Q2,Kharif Prep,C0332,Bhagalpur,Farmer,Rotavator,1,119903,119903,0,0.0,119903.0,Bank Transfer,Delivered
S00013,2023-03-15,2023,3,Q1,Off-Season,C0332,Bhagalpur,Farmer,Cultivator,1,37772,37772,0,0.0,37772.0,Cash,Delivered
S00014,2024-03-15,2024,3,Q1,Off-Season,C0126,Gopalganj,Dealer,Zero Till Seed Drill,1,212995,212995,0,0.0,212995.0,UPI,Pending
S00015,2023-06-25,2023,6,Q2,Kharif Prep,C0176,Gopalganj,Cooperative,Tawa (Plough),1,38254,38254,2,765.08,37488.92,UPI,Delivered
S00016,2023-04-19,2023,4,Q2,Off-Season,C0023,Chapra (Saran),Farmer,Cultivator,1,73592,73592,0,0.0,73592.0,EMI/Finance,Delivered
S00017,2023-08-15,2023,8,Q3,Kharif Peak,C0132,Gopalganj,Farmer,Cultivator,1,46018,46018,2,920.36,45097.64,UPI,Delivered
S00018,2023-12-24,2023,12,Q4,Rabi Peak,C0198,Patna,Dealer,Cultivator,1,44679,44679,0,0.0,44679.0,Cash,Delivered
S00019,2024-11-02,2024,11,Q4,Rabi Prep,C0228,Siwan,Farmer,Rotavator,1,135649,135649,0,0.0,135649.0,UPI,Delivered
S00020,2024-11-28,2024,11,Q4,Rabi Prep,C0105,Siwan,Farmer,Tawa (Plough),1,36497,36497,10,3649.7,32847.3,Cash,Pending
S00021,2023-11-20,2023,11,Q4,Rabi Prep,C0133,Sitamarhi,Farmer,Rotavator,1,89475,89475,2,1789.5,87685.5,Bank Transfer,Delivered
S00022,2023-12-27,2023,12,Q4,Rabi Peak,C0060,Gopalganj,Farmer,Zero Till Seed Drill,1,160685,160685,0,0.0,160685.0,UPI,Delivered
S00023,2024-10-22,2024,10,Q4,Rabi Prep,C0148,Chapra (Saran),Farmer,Tawa (Plough),1,20958,20958,0,0.0,20958.0,UPI,Delivered
S00024,2023-02-12,2023,2,Q1,Off-Season,C0113,Patna,Cooperative,Harvester,1,749712,749712,0,0.0,749712.0,UPI,Delivered
S00025,2023-03-05,2023,3,Q1,Off-Season,C0259,Gopalganj,Dealer,Harvester,3,630060,1890180,0,0.0,1890180.0,UPI,Delivered
S00026,2024-12-25,2024,12,Q4,Rabi Peak,C0132,Gopalganj,Farmer,Harvester,1,680383,680383,2,13607.66,666775.34,UPI,Delivered
S00027,2024-02-01,2024,2,Q1,Off-Season,C0337,Gopalganj,Farmer,Harvester,1,627401,627401,0,0.0,627401.0,UPI,Delivered
S00028,2023-12-04,2023,12,Q4,Rabi Peak,C0045,Bhagalpur,Farmer,Rotavator,1,129458,129458,0,0.0,129458.0,EMI/Finance,Pending
S00029,2024-09-09,2024,9,Q3,Kharif Peak,C0055,Muzaffarpur,Dealer,Tawa (Plough),1,28923,28923,2,578.46,28344.54,EMI/Finance,Delivered
S00030,2024-11-02,2024,11,Q4,Rabi Prep,C0315,Samastipur,Farmer,Threshing Machine,1,80687,80687,2,1613.74,79073.26,Cash,Delivered
S00032,2024-06-23,2024,6,Q2,Kharif Prep,C0143,Sitamarhi,Farmer,Rotavator,1,128939,128939,0,0.0,128939.0,UPI,Delivered
